path,dimensions,bytes,sha256
creatives/03_Google_PMax/01_Journeys_Asset_Group/S2-winter-journeys.png,1200x1200,1838663,bb0f8def11bdb0cb27165f5e5586f94d9b564309c965af832090c802d4f06aca
creatives/03_Google_PMax/01_Journeys_Asset_Group/S3-heritage-steam.png,1200x1200,1534181,5f59470f5bd4f1fbb7b3fe83e27494b91bcc86a9b52d8a0474f5ee391411d05f
creatives/03_Google_PMax/01_Journeys_Asset_Group/S4-alpine-clean.png,1200x1200,2371010,52086f3ba77cc4b687f7e437a2c8a69aa3ad2518ff9398803d4c19f9d3caa938
creatives/03_Google_PMax/02_Brand_Homepage_Asset_Group/L1-aoraki-heritage.png,1200x628,1352946,224d9b5ba5f124cf438be75f4684f813140d4a19cf3364490b0f5dbf2e2af900
creatives/03_Google_PMax/02_Brand_Homepage_Asset_Group/L2-real-guests.png,1200x628,1007869,90937bf1bca2b72fd3f502e0057591e6b7902af1297be14ba4f7e940b6c69ec7
creatives/03_Google_PMax/02_Brand_Homepage_Asset_Group/L3-earnslaw-calm.png,1200x628,986008,fc5966b2728635aa56b6a2865e09132614fa6dce92617655d7ec5cb4cafcd6de
creatives/03_Google_PMax/02_Brand_Homepage_Asset_Group/L4-awards-card.png,1200x628,102906,a755a2c449d345a86f566e7179f59f169bb5e5ac5a385c70e36f724e827dfd7d
creatives/03_Google_PMax/02_Brand_Homepage_Asset_Group/P1-heritage.png,960x1200,2114375,0a145cb949547c882b000297877b916955e9064d3630461384a67ec68029d06f
creatives/03_Google_PMax/02_Brand_Homepage_Asset_Group/P2-guests.png,960x1200,1569654,b7d4c8b9c9a118ed75834bf5fda05306ba1834e9e772c38de2b3ad7a75b7386e
creatives/03_Google_PMax/02_Brand_Homepage_Asset_Group/P3-hero-clean.png,960x1200,2057434,575945ee626d08f5dc0ea28eb9ca2e2442f63dbe4f5dcf22adb605c52537e409
creatives/03_Google_PMax/02_Brand_Homepage_Asset_Group/S1-awards-card.png,1200x1200,142738,045b04db7b391bf48ba898ef2a4ac62b2cfed7b60732461cc1cf8e6cc516c9a7
creatives/03_Google_PMax/02_Brand_Homepage_Asset_Group/S2-trustpilot-review.png,1200x1200,76930,8124c2a9e75cea9075f07269bf5cda963e3f333f420a8da39cb84048b129109a
creatives/03_Google_PMax/02_Brand_Homepage_Asset_Group/S3-aoraki-hero.png,1200x1200,2102827,a0e9c16b95dd74e69d5d3f82f43e7fc4614dc57470ed736da9660264e443f401
creatives/03_Google_PMax/02_Brand_Homepage_Asset_Group/S4-guests-window.png,1200x1200,1639607,2fc64f954e84f56e2e114ab5801b577d0d5c2ff5e3e1cae2e90f9ee6a925146f
creatives/03_Google_PMax/03_Logos/logo-landscape-4x1.png,1200x300,54481,88f5d156a66fb350b66e550f168f75e7a006160ac9892c027834a9ffad73cb75
creatives/03_Google_PMax/03_Logos/logo-square-navy-on-white.png,1200x1200,186060,ad6f6f3a22b44a9574c0a60bc8ab57b8bfc398a5b24881b0b8bc5ccc59375d5f
creatives/03_Google_PMax/03_Logos/logo-square-white-on-navy.png,1200x1200,216885,d68623b364ad50e0367d24b94faccd7b16ed7c4df55086e216e0ca26d666a70d
creatives/04_Canvas_Only_Not_In_Exporter/03_Brand_MOF_v2_HISTORICAL/mof2-01-inclusions.png,1080x1080,650590,e9bcc93a92339e93b2c7cecf0fbd7cc9fa619e0a7ea65a8134e60fefb62ce08c
creatives/04_Canvas_Only_Not_In_Exporter/03_Brand_MOF_v2_HISTORICAL/mof2-02-booking-confidence.png,1080x1080,1595558,9c9b84dc0367abd344443141fa3daa15cff9f6fd11599ecb710e38b6edc7c2a5
creatives/04_Canvas_Only_Not_In_Exporter/03_Brand_MOF_v2_HISTORICAL/mof2-03-brochure.png,1080x1350,497669,5e8abee557b20da0be3d5058c210ef5a4b0f82543d37333e0b97a06c5c4acc76
creatives/04_Canvas_Only_Not_In_Exporter/03_Brand_MOF_v2_HISTORICAL/mof2-04-need-help-choosing.png,1080x1080,1132230,d1c3d6bdafae52d1bad342f12b15f3a8fd34825c0b733d5237fb3843b221ff19
creatives/04_Canvas_Only_Not_In_Exporter/03_Brand_MOF_v2_HISTORICAL/mof2-05-arrive-without-a-bag.png,1080x1080,926811,72f932c26f1c6ab03e5122dcf6ecf821bfa5f2a8ded4a93f207f64e9f5528ffb
creatives/04_Canvas_Only_Not_In_Exporter/03_Brand_MOF_v2_HISTORICAL/mof2-06-value-and-proof.png,1080x1350,1338674,940fc74c11ef754ac8a9050bf05511aaa22a5f52a69bd8751cf8daa081aaafe4
creatives/04_Canvas_Only_Not_In_Exporter/01_Brand_TOF_Feed_extra/14-sail-steam-and-steel.png,1080x1080,1982112,52ee9ebde99ffec4a5d5d781bcab37dcc26b23e7c35a4b944ad3b0f50b48a975
creatives/04_Canvas_Only_Not_In_Exporter/02_Brand_MOF_v1_HISTORICAL/mof-01-inclusions.png,1080x1080,748251,61f73449185462ae2e00f24c8111785bc3e409e864b5c9193d6eea2034cd2940
creatives/04_Canvas_Only_Not_In_Exporter/02_Brand_MOF_v1_HISTORICAL/mof-02-booking-confidence.png,1080x1080,1509088,687a62b043a8c7e0a2c2f3941bcb15f077e1c333ea21d904fca49b70662c4434
creatives/04_Canvas_Only_Not_In_Exporter/02_Brand_MOF_v1_HISTORICAL/mof-03-brochure.png,1080x1350,491503,8f1cdb840bec93a269f2f9820f558abebc3a8cb2eb3bb2f4489211ead02c1aa1
creatives/04_Canvas_Only_Not_In_Exporter/02_Brand_MOF_v1_HISTORICAL/mof-04-still-considering.png,1080x1080,1174879,47eff244017f78d5b9b0eb9c0a53dbcd48df704ec8da001719bb24c8f914fa5b
creatives/04_Canvas_Only_Not_In_Exporter/02_Brand_MOF_v1_HISTORICAL/mof-05-why-guided.png,1080x1080,849601,ce68145e6d3d4108e9ae796fd8bb16e77a422a3143adb1def0ea094dfdbbcbfe
creatives/04_Canvas_Only_Not_In_Exporter/02_Brand_MOF_v1_HISTORICAL/mof-06-guest-review.png,1080x1350,1402021,36f292fc247171e2d405e0bd66499b985359445ac1edb34ab62ef9253dd855b7
creatives/01_Meta_Brand-Season/MOF_Stories_9x16/10-this-time-next-year-916.png,1080x1920,2547530,f0006f24196aab4eac32f803b8501b731609565724f8cc641bb13d58cf99dd49
creatives/01_Meta_Brand-Season/MOF_Stories_9x16/4-still-considering-916.png,1080x1920,1772511,e5e2934842a96cc1826cdc3585a59dea7d111de758a1ca3b6e9071555452bb02
creatives/01_Meta_Brand-Season/MOF_Stories_9x16/8-journey-destination-916.png,1080x1920,1839755,3c48ad4863ddd3f1f1d25be566024d9398c1570d345103f3afbbbf68bb3429ef
creatives/01_Meta_Brand-Season/TOF_Feed/01-best-scenic-rail.png,1080x1080,1968732,35c15ca1e8aaef07c25ad09837ff13199c5858bc6e44677e4c55a49f87f092f8
creatives/01_Meta_Brand-Season/TOF_Feed/02-super-6.png,1080x1080,1134005,13dc19f70be10b610f63e2e5a7438e01983767187ec87d83ad7dc1c2fc712568
creatives/01_Meta_Brand-Season/TOF_Feed/03-winter-brand-intro.png,1080x1080,1529702,42b9f6dd111599534f676c59b5afb956fb879c9b778e37d0f6b0d4a0e00db33b
creatives/01_Meta_Brand-Season/TOF_Feed/04-four-time-award-winning.png,1080x1080,1641515,a5e7cf1433c081f6251d1414166c45ee5ead40d82d441a1c4456ab2b25521b54
creatives/01_Meta_Brand-Season/TOF_Feed/05-pinnacle-peter-hillary.png,1080x1350,2347257,1c365b1e681d4b2d6a2d504bd69b779cf5c2021ac4725cbe372d85985cb651e6
creatives/01_Meta_Brand-Season/TOF_Feed/06-we-dont-miss-a-thing.png,1080x1350,1424542,b5ea2efad9dae619da5d709e94c1cbcb73582346fe2753e575b22c77244c128d
